Film;Oscar;rok;Id;budget;opening_weekend;gross;czas;rating;komentarze;zewnetrzne_zapowiedzi;oscar_actor;gatunek
Stagecoach;0;1939;tt0031971;392000;NA;NA;96;7,9;361;112;0;Adventure
The Wizard of Oz;0;1939;tt0032138;2800000;5354311;22202612;102;8,1;540;213;0;Adventure
Wuthering Heights;0;1939;tt0032145;NA;NA;593914;104;7,7;111;39;0;Drama
Rebecca;1;1940;tt0032976;1288000;NA;NA;130;8,2;280;147;0;Drama
All This, and Heaven Too;0;1940;tt0032194;1370000;NA;NA;141;7,7;54;11;1;Drama
Foreign Correspondent;0;1940;tt0032484;NA;NA;3484588;120;7,6;129;72;0;Action
The Grapes of Wrath;0;1940;tt0032551;800000;NA;NA;129;8,1;301;84;0;Drama
The Great Dictator;0;1940;tt0032553;2000000;NA;5000000;125;8,5;200;116;0;Comedy
Kitty Foyle;0;1940;tt0032671;NA;NA;NA;108;7,1;37;21;0;Drama
The Letter;0;1940;tt0032701;NA;NA;NA;95;7,7;100;48;1;Crime
The Long Voyage Home;0;1940;tt0032728;NA;NA;NA;105;7,1;37;36;1;Drama
Our Town;0;1940;tt0032881;NA;NA;NA;90;6,8;51;12;1;Drama
The Philadelphia Story;0;1940;tt0032904;NA;NA;NA;112;8;186;100;1;Comedy
How Green Was My Valley;1;1941;tt0033729;1250000;NA;6000000;118;7,8;127;75;0;Drama
Blossoms in the Dust;0;1941;tt0033407;NA;NA;NA;99;7;26;14;0;Biography
Citizen Kane;0;1941;tt0033467;839727;216239;1140769;119;8,4;1245;234;0;Drama
Here Comes Mr. Jordan;0;1941;tt0033712;NA;NA;NA;94;7,7;52;41;0;Fantasy
Hold Back the Dawn;0;1941;tt0033722;NA;NA;NA;116;7,5;21;12;0;Drama
The Little Foxes;0;1941;tt0033836;NA;NA;NA;116;8,2;108;28;1;Drama
The Maltese Falcon;0;1941;tt0033870;375000;NA;1772000;100;8,1;352;155;0;Crime
One Foot in Heaven;0;1941;tt0033980;NA;NA;NA;108;7,1;35;6;0;Biography
Sergeant York;0;1941;tt0034167;1400000;NA;16400000;134;7,8;94;35;1;Biography
Suspicion;0;1941;tt0034248;1103000;NA;4500000;99;7,4;158;88;0;Mystery
Mrs. Miniver;1;1942;tt0035093;1344000;NA;13500000;134;7,6;85;48;0;Drama
The Invaders;0;1942;tt0253658;NA;NA;NA;74;6,8;12;6;0;Animation
Kings Row;0;1942;tt0034946;NA;NA;5093000;127;7,7;65;20;0;Drama
The Magnificent Ambersons;0;1942;tt0035015;850000;NA;NA;88;7,9;104;71;0;Drama
The Pied Piper;0;1942;tt0035189;NA;NA;NA;87;7,2;6;5;0;Drama
The Pride of the Yankees;0;1942;tt0035211;NA;NA;NA;128;7,8;70;33;1;Biography
Random Harvest;0;1942;tt0035238;1210000;NA;10137000;126;8;99;22;0;Drama
The Talk of the Town;0;1942;tt0035417;NA;NA;NA;118;7,6;63;31;0;Comedy
Wake Island;0;1942;tt0035530;826061;NA;NA;87;7;21;16;0;Action
Yankee Doodle Dandy;0;1942;tt0035575;NA;NA;11800000;126;7,8;102;41;0;Biography
Casablanca;1;1943;tt0034583;950000;181494;1661267;102;8,6;1128;242;0;Drama
For Whom the Bell Tolls;0;1943;tt0035896;3000000;NA;17800000;170;7;57;21;1;Adventure
Heaven Can Wait;0;1943;tt0035979;NA;NA;NA;112;7,5;61;37;0;Comedy
The Human Comedy;0;1943;tt0036022;NA;NA;NA;117;7,2;46;15;0;Comedy
In Which We Serve;0;1943;tt0034891;240000;NA;NA;NA;7,3;48;36;0;Drama
Madame Curie;0;1943;tt0036126;NA;NA;NA;124;7,2;27;15;1;Biography
The More the Merrier;0;1943;tt0036172;NA;NA;NA;NA;8;59;25;0;Comedy
The Ox-Bow Incident;0;1943;tt0036244;NA;NA;NA;75;8,1;129;71;0;Drama
The Song of Bernadette;0;1943;tt0036377;2000000;NA;NA;156;7,7;70;37;0;Biography
Watch on the Rhine;0;1943;tt0036515;NA;NA;NA;114;7,5;49;16;1;Drama
Going My Way;1;1944;tt0036872;NA;NA;16300000;126;7,2;64;29;0;Comedy
Double Indemnity;0;1944;tt0036775;927262;NA;5720000;107;8,4;331;176;0;Crime
Gaslight;0;1944;tt0036855;NA;NA;NA;114;7,9;117;60;0;Crime
Since You Went Away;0;1944;tt0037280;2400000;NA;NA;130;7,6;86;19;2;Drama
Wilson;0;1944;tt0037465;4000000;NA;2000000;154;7;36;12;1;Biography
The Lost Weekend;1;1945;tt0037884;1250000;NA;9460000;101;8;138;95;0;Drama
Anchors Aweigh;0;1945;tt0037514;NA;NA;NA;143;7,2;67;35;0;Comedy
The Bells of St. Mary's;0;1945;tt0037536;NA;NA;21300000;126;7,5;50;33;2;Drama
Mildred Pierce;0;1945;tt0037913;1453000;NA;NA;111;8;338;79;0;Crime
Spellbound;0;1945;tt0038109;1696377;NA;7000000;111;7,6;162;99;1;Film-Noir
The Best Years of Our Lives;1;1946;tt0036868;2100000;NA;23650000;172;8,1;241;108;0;Drama
Henry V;0;1946;tt0097499;9000000;NA;10161099;137;7,7;109;45;0;Action
It's a Wonderful Life;0;1946;tt0038650;3180000;49845;7270000;130;8,6;723;210;1;Drama
The Razor's Edge;0;1946;tt0038873;1200000;NA;NA;145;7,5;81;26;0;Drama
The Yearling;0;1946;tt0039111;4000000;NA;5200000;128;7,3;73;22;0;Drama
Gentleman's Agreement;1;1947;tt0039416;2000000;NA;NA;118;7,4;114;61;0;Drama
The Bishop's Wife;0;1947;tt0039190;NA;NA;NA;109;7,6;124;38;0;Comedy
Crossfire;0;1947;tt0039286;250000;NA;1300000;86;7,4;73;50;0;Crime
Great Expectations;0;1947;tt0119223;25000000;9593290;26333044;111;6,8;194;76;0;Drama
Miracle on 34th Street;0;1947;tt0039628;NA;NA;2650000;96;7,9;157;94;0;Comedy
Hamlet;1;1948;tt0040416;500000;NA;NA;155;7,8;73;48;0;Drama
Johnny Belinda;0;1948;tt0040495;NA;NA;NA;102;7,8;56;20;0;Drama
The Red Shoes;0;1948;tt0040725;500000;NA;NA;134;8,3;138;137;0;Drama
The Snake Pit;0;1948;tt0040806;NA;NA;10000000;108;7,7;65;29;1;Drama
The Treasure of the Sierra Madre;0;1948;tt0040897;3000000;NA;4307000;126;8,3;220;108;0;Adventure
All the King's Men;1;1949;tt0041113;NA;NA;NA;110;7,6;67;51;0;Drama
Battleground;0;1949;tt0041163;1631000;NA;10293960;118;7,6;68;18;0;Action
The Heiress;0;1949;tt0041452;2600000;NA;NA;115;8,3;123;50;1;Drama
A Letter to Three Wives;0;1949;tt0041587;NA;NA;NA;103;7,9;71;51;0;Drama
Twelve O'Clock High;0;1949;tt0041996;NA;NA;NA;132;7,8;125;43;0;Drama
All About Eve;1;1950;tt0042192;1400000;10177;10177;138;8,3;319;118;2;Drama
Born Yesterday;0;1950;tt0042276;NA;NA;12000000;103;7,6;75;46;1;Comedy
Father of the Bride;0;1950;tt0042451;NA;NA;NA;92;7,2;49;31;1;Comedy
King Solomon's Mines;0;1950;tt0042646;2258000;NA;5047000;103;6,9;68;29;0;Adventure
Sunset Boulevard;0;1950;tt0043014;1752000;NA;2350000;110;8,5;461;191;0;Drama
An American in Paris;1;1951;tt0043278;2723903;NA;4500000;113;7,2;141;100;0;Drama
Decision Before Dawn;0;1951;tt0043459;NA;NA;NA;119;7,4;46;24;0;Drama
A Place in the Sun;0;1951;tt0043924;2295304;NA;NA;122;7,8;143;65;0;Drama
Quo Vadis;0;1951;tt0043949;7623000;NA;24291740;171;7,2;91;52;0;Biography
A Streetcar Named Desire;0;1951;tt0044081;1800000;NA;8000000;122;8;240;92;1;Drama
The Greatest Show on Earth;1;1952;tt0044672;4000000;NA;36000000;152;6,7;112;43;0;Drama
High Noon;0;1952;tt0044706;730000;NA;9450000;85;8;341;162;2;Drama
Ivanhoe;0;1952;tt0044760;3842000;NA;13642440;106;6,8;59;29;1;Adventure
Moulin Rouge;0;1952;tt0044926;1500000;NA;11810000;119;7,2;56;23;0;Biography
The Quiet Man;0;1952;tt0045061;NA;NA;10550000;129;7,9;214;98;1;Comedy
From Here to Eternity;1;1953;tt0045793;1650000;NA;30500000;118;7,8;153;101;0;Drama
Julius Caesar;0;1953;tt0045943;2070000;NA;2021000;120;7,4;68;31;0;Drama
The Robe;0;1953;tt0046247;5000000;NA;36000000;135;6,8;71;40;0;Drama
Roman Holiday;0;1953;tt0046250;1500000;NA;5000000;118;8,1;235;101;0;Comedy
Shane;0;1953;tt0046303;3100000;NA;9000000;118;7,7;251;77;1;Drama
On the Waterfront;1;1954;tt0047296;910000;NA;9600000;108;8,2;286;133;1;Crime
The Caine Mutiny;0;1954;tt0046816;2000000;NA;21750000;124;7,9;157;41;1;Drama
The Country Girl;0;1954;tt0046874;NA;NA;NA;104;7,3;58;26;2;Drama
